oribias,sd,swaprate,guessrate,orientation,subjects,ori_quad,confbias,conf,conresol,confbias_w_swap,orthopoly_L,orthopoly_Q,id 
-0.52,15.882,0.044,0,1st,1,1,0.027774454,-0.149772554,0.210646455,0.052575468,-0.5976143,0.5455447,id _1
0.77,18.51,0.074,0.022,2nd,1,4,0.066748621,-0.154216112,0.177018644,0.035114082,-0.3585686,-0.1091089,id _1
-3.689,19.764,0.005,0.013,3rd,1,9,0.06892983,0.04421639,0.160111146,0.073091371,-0.1195229,-0.4364358,id _1
1.169,11.216,0.08,0.011,4th,1,16,-0.159471936,0.077829274,-0.008973248,-0.149379911,0.1195229,-0.4364358,id _1
-5.303,9.12,0.002,0.323,5th,1,25,-0.092717998,-0.026512198,-0.211945216,-0.064925765,0.3585686,-0.1091089,id _1
-3.35,25.286,0.009,0.175,6th,1,36,0.088737029,0.2084552,0.235935309,0.051152525,0.5976143,0.5455447,id _1
4.228,13.572,0.117,0.007,1st,2,1,0.18548383,-0.264124498,0.309718933,0.200343893,-0.5976143,0.5455447,id _2
6.226,21.391,0.044,0.007,2nd,2,4,0.07594622,-0.058440733,0.433310499,0.054824695,-0.3585686,-0.1091089,id _2
4.342,19.564,0.116,0.163,3rd,2,9,-0.017226884,0.099781198,0.385080354,-0.050592535,-0.1195229,-0.4364358,id _2
4.745,17.194,0.036,0.296,4th,2,16,-0.18490732,0.042773219,0.174187659,-0.17888346,0.1195229,-0.4364358,id _2
-3.318,13.97,0.16,0.349,5th,2,25,-0.025849559,0.105673378,0.281072995,-0.019000502,0.3585686,-0.1091089,id _2
-11.694,14.288,0.002,0.279,6th,2,36,-0.033446287,0.074337436,0.345785585,-0.004550267,0.5976143,0.5455447,id _2
3.253,18.144,0.103,0.049,1st,3,1,0.028971365,-0.137486322,0.286386758,0.165078184,-0.5976143,0.5455447,id _3
7.474,21.323,0.42,0.214,2nd,3,4,-0.182499034,0.006937115,0.230544785,-0.299609039,-0.3585686,-0.1091089,id _3
5.54,19.25,0.513,0.01,3rd,3,9,0.12221716,-0.021195229,0.318006716,0.037123866,-0.1195229,-0.4364358,id _3
7.118,19.125,0.385,0.02,4th,3,16,0.00567338,0.025419288,0.049769815,-0.039854926,0.1195229,-0.4364358,id _3
-2.172,16.163,0.183,0.536,5th,3,25,0.012659963,0.087318079,0.115779564,-0.013604747,0.3585686,-0.1091089,id _3
-19.331,14.995,0.173,0.422,6th,3,36,0.012977166,0.039007068,0.264497683,0.074766545,0.5976143,0.5455447,id _3
0.398,12.207,0.114,0.001,1st,4,1,0.208250873,-0.025122274,0.083735097,0.244861097,-0.5976143,0.5455447,id _4
0.298,15.492,0.027,0.23,2nd,4,4,0.103005077,-0.173693543,0.360549125,0.193386626,-0.3585686,-0.1091089,id _4
-3.162,13.686,0.007,0.319,3rd,4,9,-0.080485433,-0.016356735,0.413050195,-0.063193814,-0.1195229,-0.4364358,id _4
-0.779,22.909,0,0,4th,4,16,-0.101793482,-0.017406277,0.232838523,-0.095221306,0.1195229,-0.4364358,id _4
5.938,20.014,0.139,0.014,5th,4,25,-0.139714528,0.249433523,0.168530695,-0.165340954,0.3585686,-0.1091089,id _4
-1.162,15.479,0.004,0.121,6th,4,36,0.010737493,-0.016854694,0.408537012,-0.100913131,0.5976143,0.5455447,id _4
2.428,13.934,0.043,0.008,1st,5,1,0.139598324,-0.24438261,0.294757534,0.213535934,-0.5976143,0.5455447,id _5
0.62,23.427,0.02,0.009,2nd,5,4,0.158135034,-0.038046132,0.294315103,0.11956932,-0.3585686,-0.1091089,id _5
-3.131,20.591,0.146,0,3rd,5,9,-0.090852337,-0.026686625,0.116552351,-0.168178512,-0.1195229,-0.4364358,id _5
-4.66,22.734,0.104,0.019,4th,5,16,0.022830851,0.154594444,0.268679642,0.012905885,0.1195229,-0.4364358,id _5
-5.185,15.767,0.066,0.21,5th,5,25,-0.049507418,0.035593788,0.247236526,-0.082831304,0.3585686,-0.1091089,id _5
-8.545,16.146,0.003,0.349,6th,5,36,-0.180204453,0.118927135,0.19436707,-0.118236177,0.5976143,0.5455447,id _5
1.15,17.015,0.08,0.02,1st,6,1,0.062981356,0.15431235,0.235102981,0.030373038,-0.5976143,0.5455447,id _6
1.528,22.385,0.044,0.001,2nd,6,4,-0.014507448,0.13838829,0.204579265,-0.035172936,-0.3585686,-0.1091089,id _6
3.869,14.091,0.073,0.092,3rd,6,9,0.046971022,-0.058680869,0.179958084,0.03094083,-0.1195229,-0.4364358,id _6
-1.455,18.137,0.065,0.001,4th,6,16,-0.095948121,-0.185467791,0.398656338,-0.091666876,0.1195229,-0.4364358,id _6
-7.67,22.124,0.071,0.036,5th,6,25,0.026179552,0.12134925,0.082561675,0.12247543,0.3585686,-0.1091089,id _6
-5.19,16.961,0.004,0.234,6th,6,36,-0.025676361,-0.16990123,0.337602374,-0.05136657,0.5976143,0.5455447,id _6
-1.067,10.02,0.253,0.322,1st,7,1,0.108274203,-0.203538633,0.125923934,0.102533023,-0.5976143,0.5455447,id _7
12.664,18.288,0.054,0.095,2nd,7,4,0.086121284,-0.191550594,0.463898827,0.099433387,-0.3585686,-0.1091089,id _7
10.111,14.91,0.001,0.271,3rd,7,9,0.184068317,0.091867209,0.097156081,0.150001445,-0.1195229,-0.4364358,id _7
1.523,20.137,0.042,0.019,4th,7,16,-0.216287568,0.203213326,0.306666435,-0.230917016,0.1195229,-0.4364358,id _7
-4.562,22.336,0.007,0.015,5th,7,25,-0.073659006,0.199988414,0.303275923,-0.058622572,0.3585686,-0.1091089,id _7
-10.664,17.376,0.011,0.113,6th,7,36,-0.08851723,-0.099979721,0.179439795,-0.029462077,0.5976143,0.5455447,id _7
-3.978,10.439,0.005,0.346,1st,8,1,-0.000200598,-0.089012104,0.269696204,0.012208146,-0.5976143,0.5455447,id _8
7.73,29.119,0.029,0.081,2nd,8,4,0.105754176,0.261332043,0.042288588,-0.031774866,-0.3585686,-0.1091089,id _8
8.899,15.821,0.006,0.421,3rd,8,9,-0.102679486,-0.064449349,0.331286133,-0.132480959,-0.1195229,-0.4364358,id _8
13.709,14.693,0.044,0.279,4th,8,16,0.134455945,0.016412495,-0.033668411,0.18654918,0.1195229,-0.4364358,id _8
-2.316,9.148,0.092,0.384,5th,8,25,-0.087026003,0.031198909,-0.017105936,0.019846671,0.3585686,-0.1091089,id _8
-2.667,16.549,0.047,0.028,6th,8,36,-0.050304034,-0.155481995,-0.010468389,-0.050175161,0.5976143,0.5455447,id _8
3.216,14.396,0.083,0.008,1st,9,1,0.335361236,0.017910892,0.067367252,0.446295122,-0.5976143,0.5455447,id _9
7.001,19.733,0.182,0.001,2nd,9,4,-0.089843519,-0.054618493,0.623756037,0.032970285,-0.3585686,-0.1091089,id _9
1.63,20.244,0.056,0.034,3rd,9,9,-0.273690026,-0.09286634,0.33631179,-0.310574705,-0.1195229,-0.4364358,id _9
-6.489,20.05,0.084,0.005,4th,9,16,-0.114454505,-0.06307885,0.190106843,-0.133475985,0.1195229,-0.4364358,id _9
-13.462,24.076,0.003,0.035,5th,9,25,0.129664966,0.052023205,0.296126913,0.149794316,0.3585686,-0.1091089,id _9
-13.243,12.715,0.041,0.449,6th,9,36,0.012961848,0.140629585,0.506553392,-0.20546621,0.5976143,0.5455447,id _9
0.45,17.542,0.041,0.009,1st,10,1,0.334866685,-0.06072615,0.268453207,0.404330131,-0.5976143,0.5455447,id _10
-3.417,27.746,0.003,0.055,2nd,10,4,0.094635076,-0.15752343,0.409103592,0.095175568,-0.3585686,-0.1091089,id _10
-2.467,10.968,0.02,0.557,3rd,10,9,-0.033451415,-0.064021713,0.519787823,-0.044636261,-0.1195229,-0.4364358,id _10
0.149,21.888,0.181,0.021,4th,10,16,-0.103469698,0.112737636,0.331544509,-0.126789411,0.1195229,-0.4364358,id _10
-3.561,21.719,0.022,0.301,5th,10,25,-0.321696557,0.139497086,0.055590018,-0.299327442,0.3585686,-0.1091089,id _10
-3.683,15.182,0.032,0.347,6th,10,36,0.029115908,0.03003657,0.413821795,-0.049036041,0.5976143,0.5455447,id _10
0.572,14.911,0.219,0.004,1st,11,1,-0.171482329,-0.105214237,0.265906913,-0.227573474,-0.5976143,0.5455447,id _11
8.661,22.253,0.006,0.047,2nd,11,4,0.13065288,-0.023116894,0.380925979,0.103889732,-0.3585686,-0.1091089,id _11
4.046,17.254,0.102,0.002,3rd,11,9,-0.087025282,0.01529873,0.226751535,-0.038492449,-0.1195229,-0.4364358,id _11
-9.571,15.86,0.033,0.076,4th,11,16,0.191786464,-0.085968006,-0.084901499,0.203871598,0.1195229,-0.4364358,id _11
-12.437,11.584,0.003,0.284,5th,11,25,-0.039398716,0.077732829,0.124884091,-0.046100378,0.3585686,-0.1091089,id _11
-17.482,26.072,0,0.035,6th,11,36,-0.024533017,0.121267579,0.207611059,-0.020214937,0.5976143,0.5455447,id _11
0.594,15.182,0.063,0.014,1st,12,1,-0.178653544,-0.074610264,0.395635631,-0.211500578,-0.5976143,0.5455447,id _12
-6.544,19.408,0.176,0.117,2nd,12,4,0.279877541,-0.139595127,0.14292475,0.288251449,-0.3585686,-0.1091089,id _12
-9.477,17.944,0.083,0.115,3rd,12,9,-0.156528027,0.310835806,0.287281771,-0.129040449,-0.1195229,-0.4364358,id _12
-6.739,20.73,0.102,0.046,4th,12,16,0.119115351,0.077680366,0.021901863,0.140297619,0.1195229,-0.4364358,id _12
-4.802,19.032,0.197,0.034,5th,12,25,0.015804632,-0.09671886,0.124804479,0.01835875,0.3585686,-0.1091089,id _12
-4.845,18.152,0.021,0.329,6th,12,36,-0.079615952,-0.07759192,0.126398469,-0.071631251,0.5976143,0.5455447,id _12
1.472,10.901,0.236,0.47,1st,13,1,0.115974925,0.042140154,0.194510462,0.390330016,-0.5976143,0.5455447,id _13
10.593,15.253,0.17,0.165,2nd,13,4,0.086881661,-0.036193458,0.041902437,0.120516304,-0.3585686,-0.1091089,id _13
2.504,15.623,0.031,0.381,3rd,13,9,-0.144526601,-0.115769145,0.101792129,-0.173003665,-0.1195229,-0.4364358,id _13
-11.796,26.136,0.096,0.013,4th,13,16,0.043979298,0.178799144,0.002405019,-0.036236289,0.1195229,-0.4364358,id _13
-10.664,20.792,0.156,0.01,5th,13,25,-0.067770172,-0.033264373,0.277962542,-0.169658745,0.3585686,-0.1091089,id _13
-20.91,12.371,0.001,0.67,6th,13,36,-0.03453911,-0.035712323,0.159599564,-0.038627064,0.5976143,0.5455447,id _13
2.436,10.014,0.003,0.027,1st,14,1,-0.06509255,-0.448198153,0.402608085,-0.06817131,-0.5976143,0.5455447,id _14
-5.062,9.238,0.019,0.191,2nd,14,4,-0.081693266,-0.119519677,0.570054928,0.015217265,-0.3585686,-0.1091089,id _14
-2.203,19.534,0.06,0.023,3rd,14,9,0.072704241,0.11334679,0.566430927,-0.040524015,-0.1195229,-0.4364358,id _14
0.859,10.564,0.091,0.269,4th,14,16,0.053573611,0.119662029,0.592336666,0.018184388,0.1195229,-0.4364358,id _14
-3.087,15.484,0.181,0.012,5th,14,25,-0.027223387,0.125068455,0.502033936,-7.31E-05,0.3585686,-0.1091089,id _14
-1.85,13.513,0.028,0.353,6th,14,36,0.047731351,0.209640556,0.506653606,0.084092465,0.5976143,0.5455447,id _14
7.73,25.142,0.27,0.009,1st,15,1,0.298685051,0.151658902,0.148085904,0.216535017,-0.5976143,0.5455447,id _15
29.998,20.897,0.48,0.192,2nd,15,4,0.136174448,-0.123028337,0.252351131,0.111407727,-0.3585686,-0.1091089,id _15
-1.06,28.239,0.218,0.018,3rd,15,9,-0.057008127,0.034511943,0.199031476,0.043997972,-0.1195229,-0.4364358,id _15
-6.542,26.447,0.106,0.056,4th,15,16,-0.169703556,0.002621458,0.194366144,-0.151467551,0.1195229,-0.4364358,id _15
-15.332,26.217,0.001,0.13,5th,15,25,-0.071595213,0.100502385,0.155354785,-0.050236525,0.3585686,-0.1091089,id _15
-18.763,17.423,0,0.311,6th,15,36,-0.136552603,-0.166266351,0.102819503,-0.122330827,0.5976143,0.5455447,id _15
-3.538,14.204,0.121,0.003,1st,16,1,0.302260557,-0.087033608,0.211443776,0.390091043,-0.5976143,0.5455447,id _16
10.822,23.082,0.081,0.074,2nd,16,4,-0.122578744,-0.042885776,0.416070523,-0.126220526,-0.3585686,-0.1091089,id _16
-0.089,17.868,0.059,0.227,3rd,16,9,-0.164861862,-0.001260368,0.190671119,-0.191579508,-0.1195229,-0.4364358,id _16
5.325,16.947,0.008,0.295,4th,16,16,0.049215794,0.065156258,0.274836387,0.0326836,0.1195229,-0.4364358,id _16
-5.601,19.947,0.153,0.01,5th,16,25,-0.02995502,0.032044851,0.106189269,-0.053889587,0.3585686,-0.1091089,id _16
-14.556,21.436,0.103,0.158,6th,16,36,-0.034080725,0.033978642,0.069926105,-0.050238125,0.5976143,0.5455447,id _16
5.52,15.437,0.173,0.01,1st,17,1,0.085941134,0.14317536,0.068354084,0.18699757,-0.5976143,0.5455447,id _17
-3.887,14.712,0.091,0.003,2nd,17,4,0.169451593,-0.278905128,0.295650296,0.194079966,-0.3585686,-0.1091089,id _17
-1.549,16.241,0.124,0.004,3rd,17,9,-0.006486831,-0.058093079,0.055233854,-0.075705716,-0.1195229,-0.4364358,id _17
-1.972,12.905,0.09,0.074,4th,17,16,-0.105363887,-0.03812592,0.337412643,-0.210004134,0.1195229,-0.4364358,id _17
-9.652,17.73,0.001,0.018,5th,17,25,-0.112283877,0.065907117,0.126554636,-0.069229326,0.3585686,-0.1091089,id _17
-10.147,11.258,0.062,0.321,6th,17,36,-0.031258132,0.16604165,0.155062123,-0.018927885,0.5976143,0.5455447,id _17
-1.488,15.473,0.014,0.099,1st,18,1,0.163657692,-0.154957658,0.368974742,0.23375497,-0.5976143,0.5455447,id _18
-1.799,28.735,0.031,0.022,2nd,18,4,-0.068148301,-0.210541363,0.126802839,-0.079528282,-0.3585686,-0.1091089,id _18
1.402,21.705,0.215,0.042,3rd,18,9,0.021298032,0.104465647,0.236391787,0.073577824,-0.1195229,-0.4364358,id _18
-6.558,14.546,0.074,0.277,4th,18,16,-0.018451181,0.000518051,0.026596031,-0.029208466,0.1195229,-0.4364358,id _18
-10.766,27.702,0.059,0.006,5th,18,25,0.078264408,0.287825388,0.195876366,0.023995875,0.3585686,-0.1091089,id _18
-5.148,23.617,0.127,0.155,6th,18,36,-0.17662065,-0.027310064,0.178856352,-0.25387513,0.5976143,0.5455447,id _18
0.162,16.84,0.097,0.01,1st,19,1,0.237561718,0.184349231,0.239861618,0.421628828,-0.5976143,0.5455447,id _19
-1.209,15.693,0.109,0,2nd,19,4,0.013652886,-0.294836926,0.171435323,0.101788307,-0.3585686,-0.1091089,id _19
-1.004,14.251,0.085,0.047,3rd,19,9,-0.079095198,-0.104008048,0.127287412,-0.132522728,-0.1195229,-0.4364358,id _19
-0.18,14.421,0.143,0.02,4th,19,16,0.043849369,-0.013059847,0.366216243,-0.081418485,0.1195229,-0.4364358,id _19
-2.587,14.276,0,0.095,5th,19,25,-0.276005332,-0.004794628,0.225433373,-0.343931735,0.3585686,-0.1091089,id _19
-5.647,16.373,0.016,0.231,6th,19,36,0.060036557,0.232350218,0.338916308,0.051735389,0.5976143,0.5455447,id _19
2.035,14.883,0.434,0.181,1st,20,1,-0.009821182,-0.157196127,0.049693306,-0.015032453,-0.5976143,0.5455447,id _20
11.407,25.234,0.016,0.032,2nd,20,4,-0.040302923,-0.032753516,0.265771861,-0.028162188,-0.3585686,-0.1091089,id _20
4.162,22.431,0.148,0.002,3rd,20,9,-0.146582874,-0.052169872,0.170543549,-0.144923126,-0.1195229,-0.4364358,id _20
-9.072,16.505,0.057,0.11,4th,20,16,0.081522735,0.106937666,0.223577519,0.160601135,0.1195229,-0.4364358,id _20
-7.878,9.658,0,0.353,5th,20,25,0.116711313,0.082746864,0.466391034,-0.037295982,0.3585686,-0.1091089,id _20
-22.111,22.606,0,0.361,6th,20,36,-0.001527069,0.052434985,0.476188134,0.070269106,0.5976143,0.5455447,id _20
3.468,10.91,0.001,0.028,1st,21,1,0.373015452,-0.159236608,0.201192059,0.402209378,-0.5976143,0.5455447,id _21
-2.569,11.114,0.023,0.002,2nd,21,4,0.107707478,-0.14264794,0.095643645,0.130120437,-0.3585686,-0.1091089,id _21
-2.53,12.228,0.064,0.001,3rd,21,9,0.160838359,-0.178249509,0.010645788,0.172899843,-0.1195229,-0.4364358,id _21
-4.493,13.718,0.031,0.089,4th,21,16,-0.106025475,0.056823114,0.352720712,-0.182126598,0.1195229,-0.4364358,id _21
-8.745,14.715,0.055,0.008,5th,21,25,-0.226963087,0.248331682,0.043001848,-0.23326808,0.3585686,-0.1091089,id _21
-12.933,7.026,0.002,0.136,6th,21,36,-0.308572728,0.174979261,0.063104205,-0.303125776,0.5976143,0.5455447,id _21